time,MPI-ESM1-2-HR,MPI-ESM1-2-LR,CanESM5,MIROC6,IPSL-CM6A-LR,ACCESS-CM2,NorESM2-LM,GFDL-ESM4
1997-04-16,10.661713,9.088837,12.243835,8.372894,16.616882,15.094147,19.005127,4.778595
1997-04-17,14.001312,9.06369,15.076935,7.307617,8.905304,16.475006,13.230988,3.6497192
1997-04-18,9.622986,7.0472717,18.265991,7.6197205,6.383972,8.708405,8.198547,5.347931
1997-04-19,7.3926697,9.190338,16.27716,8.874207,6.2789,8.647614,9.954163,9.660431
1997-04-20,8.362396,12.436737,16.460327,8.133728,13.071167,10.87735,11.9374695,11.331818
1997-04-21,10.989777,11.980316,19.340271,8.78009,16.672028,8.620758,14.576355,11.544586
1997-04-22,11.619354,10.804077,15.687653,9.459747,12.539764,9.123932,6.698883,11.39209
1997-04-23,10.412506,9.809753,16.501099,10.293213,11.161072,12.022369,7.952606,6.3911743
1997-04-24,9.352539,9.119965,20.493988,9.352509,17.896423,16.735748,10.045044,3.7575684
1997-04-25,10.017975,9.637726,16.420197,8.732941,19.92157,14.851715,13.245636,3.6072388
1997-04-26,10.126373,10.844696,17.990814,6.219879,20.41278,10.5277405,10.171814,4.530121
1997-04-27,10.597046,13.046722,13.207031,9.136597,18.512756,11.973053,6.7003174,2.860077
1997-04-28,7.99942,13.822845,16.83554,8.522675,6.261688,10.368805,10.763275,3.8514404
1997-04-29,8.566864,13.57785,19.068756,11.753174,5.9308777,10.57901,15.337311,6.233551
1997-04-30,10.964691,12.522003,19.073792,13.54541,11.1657715,17.086334,19.319305,6.8338013
1997-05-01,17.35321,10.239044,18.017609,11.755096,13.985504,15.3089905,18.817719,10.670868
1997-05-02,14.651398,9.143707,13.245209,12.253082,18.810333,11.529449,18.161438,16.545197
1997-05-03,12.065399,12.009094,12.981384,9.630096,20.185608,16.830475,17.358765,16.180573
1997-05-04,12.349457,11.530914,15.626984,9.956757,17.841217,8.588776,18.495453,18.821625
1997-05-05,13.380951,10.500336,12.720917,12.255829,14.038605,9.45401,15.468994,18.467957
1997-05-06,15.05423,9.306732,12.506775,12.950836,13.406372,12.036774,16.521942,19.00232
1997-05-07,15.671173,11.248016,18.256348,11.521301,6.8993225,13.531158,19.169037,10.344177
1997-05-08,18.09671,12.008789,20.330536,12.338623,7.7755737,16.860016,11.035858,5.417755
1997-05-09,20.936096,12.380402,17.061432,14.085663,9.633301,15.438385,8.312164,9.142731
1997-05-10,18.129852,12.105133,15.88797,15.688141,13.105988,9.920074,9.76474,11.903229
1997-05-11,16.06366,12.437042,18.72168,16.805145,11.263947,10.98941,12.587463,11.908234
1997-05-12,16.878357,14.383209,19.789307,17.788483,8.921509,11.614166,14.457794,14.072845
1997-05-13,17.26529,15.322388,16.06308,18.711853,13.613953,10.945709,15.3133545,12.452118
1997-05-14,17.207367,15.010498,16.441254,18.919952,14.838013,13.207428,14.790527,12.49115
1997-05-15,20.174957,13.020599,15.40271,17.414764,15.208038,15.290924,17.056732,13.766022
1997-05-16,20.950836,12.785553,14.594421,17.204773,19.161163,12.1315,18.262054,17.327026
1997-05-17,23.396027,14.4253235,15.63797,16.714172,19.78775,11.086334,16.549133,19.041168
1997-05-18,24.382019,15.582062,18.664398,17.450562,19.168701,13.190582,6.43927,19.60376
1997-05-19,20.385468,12.997131,19.569733,17.170258,20.19629,13.538727,9.732452,19.358185
1997-05-20,17.37616,11.334412,19.712921,17.057922,16.845612,18.71109,16.838287,14.000092
1997-05-21,21.194916,14.912872,20.495972,17.893677,12.722992,18.194977,16.6156,10.694397
1997-05-22,19.370361,12.3298645,22.36731,16.180267,15.464233,16.557526,14.769592,10.466187
1997-05-23,15.346954,13.008514,22.884796,12.798523,19.260132,17.871246,22.010101,10.505676
1997-05-24,13.460846,14.577484,17.49878,14.034302,20.88211,15.702545,24.099304,13.995605
1997-05-25,13.608917,13.078461,15.462555,15.453552,16.68039,12.335602,19.995728,14.953247
1997-05-26,13.010651,13.902313,16.696564,16.112549,17.679413,13.854401,12.35022,14.144287
1997-05-27,13.714447,14.586761,17.111176,17.021393,21.008026,12.846832,13.552887,16.700806
1997-05-28,15.048401,15.826965,21.78244,15.890076,22.588226,13.739655,17.85196,12.6154785
1997-05-29,14.138519,16.822845,22.714417,17.20047,20.177307,16.31607,20.313782,12.6588745
1997-05-30,15.724518,15.5578,21.449463,19.02649,17.133118,19.123444,21.272308,13.574829
1997-05-31,17.455383,14.98996,19.803467,16.226624,17.648499,18.763824,22.279358,14.873047
1997-06-01,18.854034,16.540192,18.839783,15.380737,18.335236,19.610016,24.88327,14.211029
1997-06-02,18.055939,16.34024,19.154388,14.94165,19.66925,17.223297,17.599518,15.545746
1997-06-03,23.111816,15.70163,20.213654,16.682709,17.521912,16.362701,17.280212,13.577301
1997-06-04,20.91159,16.399933,22.992828,16.426697,20.255066,15.186188,19.952972,14.850647
1997-06-05,18.061615,16.220367,22.842438,15.275665,22.692108,16.90982,21.479828,15.643097
1997-06-06,16.090271,16.09665,19.381012,15.501373,24.035278,18.213287,13.115967,16.724487
1997-06-07,17.126587,16.51883,22.031982,17.272278,25.206604,20.239655,11.158722,16.357208
1997-06-08,18.95044,16.345428,22.76181,15.761536,23.828827,22.794342,15.749817,16.016388
1997-06-09,18.242432,16.549835,16.463531,17.54068,22.223083,19.427643,19.258057,19.864166
1997-06-10,21.309631,16.462738,16.84729,17.600922,22.3143,18.98648,22.733887,11.774414
1997-06-11,24.000336,14.936737,18.88797,17.97528,20.085876,21.835602,23.91397,13.166718
1997-06-12,20.144318,17.042267,17.705414,17.66922,19.419952,23.544342,20.551422,16.261292
1997-06-13,21.448914,18.234467,18.225952,18.868195,20.07962,15.625641,18.932373,14.793243
1997-06-14,23.734344,18.146576,20.729095,19.232574,20.799866,13.303619,21.54602,15.287598
1997-06-15,23.53537,16.410553,20.057404,18.678528,20.855621,16.381256,21.982483,15.07132
1997-06-16,24.35434,17.53653,16.626862,21.788544,22.770905,18.53653,22.022125,17.920258
1997-06-17,25.217896,17.710907,16.18985,20.678864,16.5065,20.819489,20.261444,16.809235
1997-06-18,24.028961,17.855194,20.300018,21.758636,20.476135,24.437897,16.160675,21.699615
1997-06-19,20.552704,18.097534,20.232544,22.232574,22.912872,22.147125,15.346344,19.568268
1997-06-20,20.069458,17.869843,19.188477,19.962982,22.759705,19.8461,15.489929,15.477234
1997-06-21,20.163086,18.775726,19.249023,17.295258,21.75888,17.77066,18.672913,15.5538025
1997-06-22,21.800507,18.95343,20.374115,18.612335,22.811523,21.3107,21.138062,18.771667
1997-06-23,23.997894,17.219513,20.836304,23.069733,23.7388,19.39151,22.034943,16.225647
1997-06-24,22.27359,16.358002,20.851257,21.70581,23.208374,16.033844,19.190216,17.550629
